"time","sut.desired_angle","sut.control_force","sut.crane_angle","sut.crane_wire_join.measured_weight"
42.7,-0.5235987755982988,-0.25766673040184135,-0.5534031605583122,53.64943773078525
42.71,-0.5235987755982988,-0.2590881886046593,-0.5541141779272082,53.619996811718046
42.72,-0.5235987755982988,-0.26053546262503846,-0.5547865435564724,53.59113028566718
42.73,-0.5235987755982988,-0.2620083892793332,-0.5554200655304357,53.56292067030553
42.74,-0.5235987755982988,-0.2635068621642878,-0.5560145402599849,53.53544695179199
42.75,-0.5235987755982988,-0.2650306732931021,-0.5565698005745852,53.50878699544814
42.76,-0.5235987755982988,-0.2665796270943667,-0.5570856815017358,53.483015399074695
42.77,-0.5235987755982988,-0.2681535213631509,-0.5575620262556846,53.45820365351169
42.78,-0.5235987755982988,-0.269752142217201,-0.5579986879935634,53.434420043248174
42.79,-0.5235987755982988,-0.2713752641870757,-0.5583955300199729,53.41172947024266
42.8,-0.5235987755982988,-0.27302266612528425,-0.5587524193049661,53.39019317469816
42.81,-0.5235987755982988,-0.27469411942230826,-0.559069231707739,53.36986871030896
42.82,-0.5235987755982988,-0.276389358000099,-0.5593458649028582,53.35080997039568
42.83,-0.5235987755982988,-0.2781081192462436,-0.559582221320338,53.33306675241151
42.84,-0.5235987755982988,-0.2798501306554848,-0.5597782140348566,53.31668473325062
42.85,-0.5235987755982988,-0.28161510999859984,-0.5599337669370495,53.30170534929555
42.86,-0.5235987755982988,-0.28340276574327794,-0.5600488147861271,53.288165686261905
42.87,-0.5235987755982988,-0.28521284239928063,-0.560123282105221,53.276098318356176
42.88,-0.5235987755982988,-0.287045013315241,-0.5601571339199745,53.26553146229557
42.89,-0.5235987755982988,-0.28889896810373455,-0.5601503348361934,53.25648867293432
42.9,-0.5235987755982988,-0.29077438892935004,-0.5601028604579023,53.24898885343508
42.91,-0.5235987755982988,-0.29267095077266203,-0.5600146975138509,53.24304620645882
42.92,-0.5235987755982988,-0.29458832169421173,-0.5598858439840209,53.23867019745414
42.93,-0.5235987755982988,-0.29652617732658476,-0.559716298872077,53.23586555645365
42.94,-0.5235987755982988,-0.29848418329194387,-0.5595060753190668,53.23463227185685
42.95,-0.5235987755982988,-0.30046198563727233,-0.5592552078824747,53.23496554356274
42.96,-0.5235987755982988,-0.302459233687458,-0.5589637362242181,53.23685583721005
42.97,-0.5235987755982988,-0.3044755721264956,-0.5586317111919143,53.240288902846
42.98,-0.5235987755982988,-0.3065106413235075,-0.5582591949002349,53.24524581517296
42.99,-0.5235987755982988,-0.3085640786176295,-0.5578462589787628,53.2517030269217
43,-0.5235987755982988,-0.31063552761642776,-0.5573929674965628,53.259632443296695
43.01,-0.5235987755982988,-0.3127246138997865,-0.5568994241253666,53.26900147922166
43.02,-0.5235987755982988,-0.31483096627546703,-0.5563657322000146,53.279773161760616
43.03,-0.5235987755982988,-0.31695421125180523,-0.5557920059923832,53.29190622730651
43.04,-0.5235987755982988,-0.31909397338942513,-0.5551783707436406,53.305355233405
43.05,-0.5235987755982988,-0.32124987565293506,-0.5545249626965046,53.3200706816846
43.06,-0.5235987755982988,-0.32342154630811054,-0.553831912813916,53.33599913320189
43.07,-0.5235987755982988,-0.32560860866918745,-0.5530993732411256,53.35308336395207
43.08,-0.5235987755982988,-0.3278106825778103,-0.5523275145284908,53.371262529540864
43.09,-0.5235987755982988,-0.33002739056445274,-0.5515165111839025,53.390472310178744
43.1,-0.5235987755982988,-0.33225835568931067,-0.5506665479628358,53.41064508669138
43.11,-0.5235987755982988,-0.3345032019176219,-0.5497778198417671,53.43171012002483
43.12,-0.5235987755982988,-0.3367615566986719,-0.5488505274440855,53.45359373021923
43.13,-0.5235987755982988,-0.33903305811412465,-0.5478848630368586,53.476219446392925
43.14,-0.5235987755982988,-0.34131733126545394,-0.5468810600051095,53.499508305268236
43.15,-0.5235987755982988,-0.34361401034976863,-0.5458393480445414,53.52337898482063
43.16,-0.5235987755982988,-0.3459227327938412,-0.5447599660143185,53.54774803425225
43.17,-0.5235987755982988,-0.34824313965908754,-0.5436431618492682,53.57253009094871
43.18,-0.5235987755982988,-0.35057487604653537,-0.5424891924720867,53.59763810200991
43.19,-0.5235987755982988,-0.3529175920118064,-0.5412983070611814,53.62298329026799
