"time","sut.crane_angle","sut.control_force","sut.desired_angle","sut.crane_wire_join.measured_weight"
63.99,0.540908656439045,143.94372517561968,0.5235987755982988,50.07359303116887
64,0.5398704962210249,143.95040488150772,0.5235987755982988,50.086451881430634
64.01,0.5388409384382745,143.9544833295248,0.5235987755982988,50.099057584413345
64.02,0.5378200521702016,143.95598091075914,0.5235987755982988,50.111408350578984
64.03,0.536807905536489,143.95491746588914,0.5235987755982988,50.123502384265024
64.04,0.5358045607619262,143.95131536867788,0.5235987755982988,50.13533812650391
64.05,0.5348100798584101,143.9451959635985,0.5235987755982988,50.14691397877682
64.06,0.5338245228545639,143.93658066830827,0.5235987755982988,50.1582283904015
64.07,0.5328479478048904,143.9254909622245,0.5235987755982988,50.169279859162295
64.08,0.5318804129225683,143.91194905931044,0.5235987755982988,50.180066957701236
64.09,0.5309219747288602,143.89597729747032,0.5235987755982988,50.190588311299045
64.1,0.5299726849892584,143.87759713705356,0.5235987755982988,50.20084256130872
64.11,0.5290325952269036,143.85683060063866,0.5235987755982988,50.21082842041187
64.12,0.5281017552462143,143.83369978299518,0.5235987755982988,50.22054465506742
64.13,0.5271802131566514,143.80822684437214,0.5235987755982988,50.22999008619143
64.14,0.5262680138529391,143.78043613990786,0.5235987755982988,50.23916374948443
64.15,0.5253652010008159,143.75035149772935,0.5235987755982988,50.248064693990614
64.16,0.5244718178899621,143.71799506476387,0.5235987755982988,50.256691896363556
64.17,0.523587905302893,143.6833902821641,0.5235987755982988,50.265044484392455
64.18,0.5227135023177557,143.64656080050867,0.5235987755982988,50.2731216571918
64.19,0.5218486463231965,143.607530485403,0.5235987755982988,50.280922686756206
64.2,0.5209933693681958,143.56632342004204,0.5235987755982988,50.28844696196445
64.21,0.5201477039305827,143.52296391557678,0.5235987755982988,50.295693923740586
64.22,0.5193116823787297,143.4774765162548,0.5235987755982988,50.30266307268657
64.23,0.5184853338803482,143.42988600244774,0.5235987755982988,50.30935400657219
64.24,0.5176686857264926,143.38021739733566,0.5235987755982988,50.31576640665475
64.25,0.516861763328393,143.32849597249117,0.5235987755982988,50.32190003931441
64.26,0.5160645910106303,143.27474427514971,0.5235987755982988,50.32775455651392
64.27,0.5152771905715448,143.21898750607045,0.5235987755982988,50.33332985908889
64.28,0.5144995818296167,143.16125146980204,0.5235987755982988,50.33862596038795
64.29,0.5137317829527079,143.10156133707252,0.5235987755982988,50.3436429035785
64.3,0.5129738102625913,143.03994236959585,0.5235987755982988,50.34838081149526
64.31,0.512225678235182,142.97641991294535,0.5235987755982988,50.352839887093964
64.32,0.511487405370721,142.91101818839562,0.5235987755982988,50.357020275113335
64.33,0.5107590025007759,142.84376267831325,0.5235987755982988,50.36092233793198
64.34,0.5100404793884414,142.77467876863227,0.5235987755982988,50.36454650070215
64.35,0.5093318451440841,142.70379165671014,0.5235987755982988,50.36789324153097
64.36,0.5086331073558444,142.63112652215426,0.5235987755982988,50.37096311212838
64.37,0.5079442721118724,142.55670851519537,0.5235987755982988,50.373756737365305
64.38,0.5072653459413367,142.48056634618922,0.5235987755982988,50.376275033396674
64.39,0.5065963317171558,142.4027245426256,0.5235987755982988,50.378518738568054
64.4,0.5059372315218191,142.32320877427267,0.5235987755982988,50.38048873601654
64.41,0.5052880462573645,142.24204506785554,0.5235987755982988,50.382186006327856
64.42,0.504648775530959,142.159259538982,0.5235987755982988,50.383611611337656
64.43,0.5040194176835106,142.07487839248012,0.5235987755982988,50.38476669415446
64.44,0.5033999629807958,141.9889310732616,0.5235987755982988,50.38565275419759
64.45,0.5027904092087251,141.9014430939538,0.5235987755982988,50.38627102191067
64.46,0.5021907495186995,141.81244164895844,0.5235987755982988,50.38662294767414
64.47,0.5016009755640953,141.72195418275598,0.5235987755982988,50.38671007702758
64.48,0.5010210775739316,141.630008369483,0.5235987755982988,50.38653404869672
64.49,0.5004510441116216,141.53663196331746,0.5235987755982988,50.386096586660294
64.5,0.49989085788699694,141.4418501291314,0.5235987755982988,50.38539935677085
64.51,0.4993405062639816,141.34569215536425,0.5235987755982988,50.384444326426696
64.52,0.4987999726742809,141.24818597662335,0.5235987755982988,50.383233471224955
64.53,0.49826923896419334,141.14935967637683,0.5235987755982988,50.381768855162285
64.54,0.49774828538834276,141.04924148735486,0.5235987755982988,50.38005263041118
64.55,0.49723709124401905,140.9478592565141,0.5235987755982988,50.37808699388557
64.56,0.49673563849993974,140.84523740721437,0.5235987755982988,50.37587394138938
64.57,0.4962439012235929,140.74140577118268,0.5235987755982988,50.373415978967245
64.58,0.4957618546041573,140.63639204216136,0.5235987755982988,50.37071551465054
64.59,0.49528947243954563,140.53022387144165,0.5235987755982988,50.36777502645194
64.6,0.4948267271467009,140.4229288544145,0.5235987755982988,50.36459706056491
64.61,0.49437359119113705,140.3145347677056,0.5235987755982988,50.36118423152676
64.62,0.4939300404777402,140.20507015259594,0.5235987755982988,50.35753922541906
64.63,0.4934960416825608,140.09456206302394,0.5235987755982988,50.35366477973246
64.64,0.49307156373007954,139.98303807677183,0.5235987755982988,50.34956369758303
64.65,0.49265657454053785,139.87052570589873,0.5235987755982988,50.34523884108032
64.66,0.4922510410633533,139.75705238737297,0.5235987755982988,50.34069312925165
64.67,0.4918549286373714,139.64264681287108,0.5235987755982988,50.33592963087921
64.68,0.4914682004833801,139.52733999546643,0.5235987755982988,50.33095163968494
64.69,0.4910908213102699,139.4111581527825,0.5235987755982988,50.32576216781013
64.7,0.490722753851767,139.29412965378975,0.5235987755982988,50.32036443648082
64.71,0.49036395992627424,139.17628296751872,0.5235987755982988,50.31476172932111
64.72,0.4900144004623981,139.05764666937904,0.5235987755982988,50.308957391270035
64.73,0.4896740324565651,138.93824955075007,0.5235987755982988,50.30295485775275
64.74,0.48934280937780933,138.81812061253558,0.5235987755982988,50.29675764987015
64.75,0.4890206909388129,138.69728874344412,0.5235987755982988,50.29036927698852
64.76,0.4887076323889009,138.5757830875757,0.5235987755982988,50.283793341465596
64.77,0.4884035878205144,138.45363294030315,0.5235987755982988,50.27703350506557
64.78,0.48810851016700096,138.33086775552675,0.5235987755982988,50.27009348799278
64.79,0.487822350873668,138.20751478295503,0.5235987755982988,50.262976900748356
64.8,0.48754506013545074,138.08360081527942,0.5235987755982988,50.25568736459579
64.81,0.4872765874739202,137.9591563966842,0.5235987755982988,50.24822880748316
64.82,0.4870168809572992,137.83421018860116,0.5235987755982988,50.24060506521038
64.83,0.4867658874495818,137.70879079995072,0.5235987755982988,50.23282000856128
64.84,0.4865235526059464,137.58292677711776,0.5235987755982988,50.22487754083781
64.85,0.486289825734607,137.45664516020048,0.5235987755982988,50.216781448365424
64.86,0.4860646541133535,137.329973146063,0.5235987755982988,50.20853556919069
64.87,0.48584797920424555,137.2029391921673,0.5235987755982988,50.20014390497222
64.88,0.4856397443725031,137.0755707310957,0.5235987755982988,50.191610385119006
64.89,0.4854398921759701,136.9478949577366,0.5235987755982988,50.182938945875755
64.9,0.4852483643900105,136.81993881057417,0.5235987755982988,50.17413352681082
64.91,0.48506510497310856,136.69173169810895,0.5235987755982988,50.16519823216007
64.92,0.48489005571009347,136.5633013898813,0.5235987755982988,50.156137083473816
64.93,0.4847231561398487,136.43467390703648,0.5235987755982988,50.146954009316325
64.94,0.4845643465038306,136.3058762328007,0.5235987755982988,50.13765300582016
64.95,0.4844135666045349,136.1769352049144,0.5235987755982988,50.12823806814008
64.96,0.48427075584552465,136.04787751104845,0.5235987755982988,50.11871318795606
64.97,0.4841358475984909,135.91873282522002,0.5235987755982988,50.10908261380806
64.98,0.4840087791174417,135.78952833609242,0.5235987755982988,50.099350392717255
64.99,0.4838894884908954,135.66029045205877,0.5235987755982988,50.08952050955934
65,0.48377791165405626,135.53104647311378,0.5235987755982988,50.07959702520641
65.01,0.4836739839763613,135.4018237294411,0.5235987755982988,50.06958400271372
65.02,0.4835776402762966,135.2726495907863,0.5235987755982988,50.05948550627378
65.03,0.48348880809166656,135.14354880845534,0.5235987755982988,50.04930544998678
65.04,0.4834074207836269,135.01454870129052,0.5235987755982988,50.03904788701458
65.05,0.48333341076721786,134.8856764819547,0.5235987755982988,50.028716858779646
65.06,0.48326670841080743,134.7569588251884,0.5235987755982988,50.01831636885699
65.07,0.48320724322201625,134.6284223403425,0.5235987755982988,50.00785040800294
65.08,0.4831549438363089,134.50009357037735,0.5235987755982988,49.99732295263098
65.09,0.48310974293353875,134.3719932843277,0.5235987755982988,49.98673750043984
65.1,0.4830715668562223,134.2441484850634,0.5235987755982988,49.97609804085901
65.11,0.48304034241698035,134.11658451210602,0.5235987755982988,49.96540841524074
65.12,0.4830159962152512,133.98932581866177,0.5235987755982988,49.95467237785592
65.13,0.48299845417068776,133.8623964977341,0.5235987755982988,49.94389363707013
65.14,0.4829876415286938,133.73582026150265,0.5235987755982988,49.93307585227464
65.15,0.4829834944814006,133.60962138638317,0.5235987755982988,49.9222226141788
65.16,0.4829859341450918,133.4838225284909,0.5235987755982988,49.91133748039687
65.17,0.4829948862997639,133.35844634365887,0.5235987755982988,49.90042394292117
65.18,0.4830102768848041,133.23351509187916,0.5235987755982988,49.88948543217017
65.19,0.4830320317203765,133.10905059305813,0.5235987755982988,49.87852531462607
65.2,0.4830600765099722,132.98507445313325,0.5235987755982988,49.86754690850227
65.21,0.48309433580593336,132.86161483627865,0.5235987755982988,49.85655399627245
65.22,0.48313473565403936,132.7386900134668,0.5235987755982988,49.84554957853101
65.23,0.4831812015262757,132.616321653833,0.5235987755982988,49.834536877487395
65.24,0.483233658932688,132.49453120461607,0.5235987755982988,49.823519062593725
65.25,0.4832920334590529,132.37333989557695,0.5235987755982988,49.812499249960126
65.26,0.4833562495227723,132.252768929948,0.5235987755982988,49.801480524191575
65.27,0.4834262208623443,132.1328408783391,0.5235987755982988,49.79046610451492
65.28,0.4835018769406012,132.0135758463475,0.5235987755982988,49.779458884762576
65.29,0.4835831407610014,131.8949947127106,0.5235987755982988,49.76846182040441
65.3,0.4836699350355909,131.777118241624,0.5235987755982988,49.75747782151077
65.31,0.4837621821828911,131.6599670929493,0.5235987755982988,49.746509753313106
65.32,0.4838598036478402,131.54356069258964,0.5235987755982988,49.735560352352245
65.33,0.48396271781146827,131.42791373175106,0.5235987755982988,49.7246319653195
65.34,0.48407084713236026,131.31304818776022,0.5235987755982988,49.713727440231956
65.35,0.48418411180193105,131.1989826703434,0.5235987755982988,49.702849337724196
65.36,0.4843024315330936,131.08573544270246,0.5235987755982988,49.69200015436197
65.37,0.48442572554572616,130.9733244108455,0.5235987755982988,49.68118232183071
65.38,0.48455391550820187,130.86176603377302,0.5235987755982988,49.670398102101714
65.39,0.4846869289951749,130.75107404519943,0.5235987755982988,49.65964946368817
65.4,0.48482468126352385,130.6412660904714,0.5235987755982988,49.64893872231601
65.41,0.4849670925986912,130.5323573781191,0.5235987755982988,49.63826792940645
65.42,0.4851140832544413,130.42436251117792,0.5235987755982988,49.627639048862285
65.43,0.48526557347613236,130.31729546271768,0.5235987755982988,49.617053955147824
65.44,0.485421486461047,130.21117139383026,0.5235987755982988,49.60651455907359
65.45,0.48558174869399573,130.10600682508598,0.5235987755982988,49.596022821195064
65.46,0.4857462790882184,130.00181278539662,0.5235987755982988,49.585580276414234
65.47,0.48591500051938286,129.8986020083855,0.5235987755982988,49.57518853213827
65.48,0.4860878363760001,129.79638672934541,0.5235987755982988,49.56484911624281
65.49,0.4862647106111978,129.69517867864377,0.5235987755982988,49.55456347689142
65.5,0.4864455439449394,129.59499208061314,0.5235987755982988,49.54433324660635
65.51,0.48663025613959565,129.49584191075752,0.5235987755982988,49.53416009113602
65.52,0.48681877426121056,129.397737479712,0.5235987755982988,49.52404514522928
65.53,0.48701102246442085,129.30069044235012,0.5235987755982988,49.51398971706722
65.54,0.48720692530168247,129.2047122479775,0.5235987755982988,49.503995065265656
65.55,0.4874064077452532,129.1098141569969,0.5235987755982988,49.49406240123337
65.56,0.4876093883641841,129.01600595462992,0.5235987755982988,49.484192823648975
65.57,0.48781578655775587,128.92329734028226,0.5235987755982988,49.474387391118725
65.58,0.4880255296818517,128.83169929652584,0.5235987755982988,49.464647196047764
65.59,0.4882385407837925,128.7412217669105,0.5235987755982988,49.45497324529116
65.6,0.488454742812987,128.65187446994003,0.5235987755982988,49.445366503977404
65.61,0.4886740585992371,128.563666907423,0.5235987755982988,49.435827897576885
65.62,0.4888964133285519,128.47660342842715,0.5235987755982988,49.426357888888006
65.63,0.4891217310149784,128.39069017950277,0.5235987755982988,49.41695707460994
65.64,0.4893499339015814,128.30593625598374,0.5235987755982988,49.4076262875257
65.65,0.48958094531621005,128.22234801373568,0.5235987755982988,49.398366108745044
65.66,0.4898146885531015,128.1399312486829,0.5235987755982988,49.38917705608493
65.67,0.4900510868646431,128.05869117851685,0.5235987755982988,49.3800595838011
65.68,0.49029007456569107,127.97863240380424,0.5235987755982988,49.37101401608731
65.69,0.4905315784335976,127.89975892416369,0.5235987755982988,49.362040658059094
65.7,0.49077552201900104,127.8220741119682,0.5235987755982988,49.353139769483036
65.71,0.49102183294845564,127.7455806805006,0.5235987755982988,49.34431152104387
65.72,0.4912704395135979,127.67028067196989,0.5235987755982988,49.33555601450254
65.73,0.49152127071438473,127.59617543912633,0.5235987755982988,49.326873282241536
65.74,0.4917742575323625,127.52327313759618,0.5235987755982988,49.31826391280013
65.75,0.4920293306537643,127.45157454033821,0.5235987755982988,49.30972787206688
65.76,0.4922864215955034,127.3810796307183,0.5235987755982988,49.301265051728166
65.77,0.49254546307517033,127.31178957933668,0.5235987755982988,49.29287543569913
65.78,0.49280638880749017,127.24370521872648,0.5235987755982988,49.284558974438305
65.79,0.4930691335525295,127.1768270553044,0.5235987755982988,49.27631558723248
65.8,0.493333617656948,127.11115926920354,0.5235987755982988,49.26814558491175
65.81,0.4935997790390291,127.04670151311666,0.5235987755982988,49.26004880637733
65.82,0.49386755338649524,126.9834540291191,0.5235987755982988,49.252025158910186
65.83,0.4941368750355286,126.92141744696106,0.5235987755982988,49.244074597955006
65.84,0.4944076787971378,126.86059233873371,0.5235987755982988,49.236197081171305
65.85,0.4946798999501406,126.80097924502209,0.5235987755982988,49.22839257216875
65.86,0.49495346489690834,126.742570804947,0.5235987755982988,49.2206604065916
65.87,0.49522831172798937,126.68536917888768,0.5235987755982988,49.21300069819812
65.88,0.4955043751639146,126.62937334648903,0.5235987755982988,49.20541331726579
65.89,0.49578158952416496,126.5745816494774,0.5235987755982988,49.19789809653751
65.9,0.4960598891236475,126.52099215903246,0.5235987755982988,49.19045486221864
65.91,0.49633920846679835,126.46860255681881,0.5235987755982988,49.183083423682895
65.92,0.49661949713750486,126.41740236636457,0.5235987755982988,49.17578281604558
65.93,0.4969006846942669,126.3673912083437,0.5235987755982988,49.168553083399786
