"time","sut.control_force","sut.crane_angle","sut.desired_angle","sut.crane_wire_join.measured_weight"
0.29,9.347829323144133,-0.01213993533085491,0,45.37061190307989
0.3,9.680181146435308,-0.012959569557618194,0,45.40914473221823
0.31,10.012812420926196,-0.013803485928907011,0,45.448026788552035
0.32,10.345686834646568,-0.014671428182989327,0,45.48724901900414
0.33,10.678769236397443,-0.015563135732563528,0,45.52680242291216
0.34,11.012024175069007,-0.016478348362504395,0,45.56667801084113
0.35,11.345415958528656,-0.01741680591867731,0,45.60686680331502
0.36,11.678910249914143,-0.018378239872545714,0,45.64735982465693
0.37,12.012472442449354,-0.019362381909234637,0,45.68814810835751
0.38,12.346069375722163,-0.020368962179563698,0,45.729222800952265
0.39,12.67967050005956,-0.021397710000416795,0,45.77057525986524
0.4,13.01324155226522,-0.02244835005070918,0,45.81219651322894
0.41,13.34675023994857,-0.023520605790501536,0,45.8540777449918
0.42,13.680164124221047,-0.02461420046320509,0,45.89621014752282
0.43,14.013449035057414,-0.02572886285279869,0,45.9385848860343
0.44,14.34657413203443,-0.02686430889744698,0,45.981193209473844
0.45,14.679507721231486,-0.0280202568872942,0,46.02402635829032
0.46,15.012218716859199,-0.02919642401791636,0,46.06707562350483
0.47,15.344679399012763,-0.03039253150274399,0,46.110332627948154
0.48,15.67685843865318,-0.03160829164252051,0,46.15378861106248
0.49,16.008726340256374,-0.032843417915081635,0,46.197434986987126
0.5,16.340253950873137,-0.034097622463539465,0,46.2412631948773
0.51,16.67140883427863,-0.035370622357643704,0,46.28526451767674
0.52,17.002163279961454,-0.036662125763323686,0,46.32943048223731
0.53,17.332488313607197,-0.03797184228578591,0,46.37375255972556
0.54,17.662355226647733,-0.039299480328186066,0,46.41822224208158
0.55,17.991738862773744,-0.04064475414242514,0,46.4628313856607
0.56,18.320610965483503,-0.04200736955715844,0,46.50757151321468
0.57,18.648944513444846,-0.04338703327876524,0,46.55243426938262
0.58,18.976713064404066,-0.0447834514837885,0,46.59741135152268
0.59,19.303887679264335,-0.04619633137485774,0,46.642494305811006
0.6,19.6304422002811,-0.04762537767655012,0,46.687674866418405
0.61,19.956350725393357,-0.049070294312155524,0,46.73294479312147
0.62,20.281587209921334,-0.05053078466810547,0,46.77829584629001
0.63,20.60612825351386,-0.05200655780550602,0,46.823720076782045
0.64,20.929949392051647,-0.05349731837728663,0,46.86920941375307
0.65,21.253025811988373,-0.05500276857059681,0,46.91475574568802
0.66,21.575333694254727,-0.05652261176107558,0,46.96035106931307
0.67,21.896847602439184,-0.0580565508165692,0,47.00598727889335
0.68,22.217542926759627,-0.059604288201135246,0,47.051656344137086
0.69,22.537396794277363,-0.061165526013777026,0,47.097350375460024
0.7,22.856385798321803,-0.06273996589181856,0,47.14306146110189
0.71,23.17448829685986,-0.06432731425642507,0,47.18878190343695
0.72,23.491683309838393,-0.06592727849916195,0,47.23450408701739
0.73,23.807948279592107,-0.06753955923656792,0,47.280220215098886
0.74,24.1232619278115,-0.0691638601907202,0,47.325922649009904
0.75,24.437602106202768,-0.0707998842010498,0,47.37160370400688
0.76,24.750945827836006,-0.0724473332471758,0,47.4172556541299
0.77,25.0632730688802,-0.07410591121811577,0,47.462871032405054
0.78,25.374562943458226,-0.07577532112602335,0,47.508442329772706
0.79,25.684795609334074,-0.07745526918811424,0,47.55396218302377
0.8,25.993953167697498,-0.07914546852211889,0,47.5994234859695
0.81,26.302015278920933,-0.08084562114001556,0,47.64481884548302
0.82,26.608963051413003,-0.08255543391971182,0,47.6901410670462
0.83,26.914777378622073,-0.08427461335525305,0,47.7353829717498
0.84,27.219436966945644,-0.08600286275822035,0,47.78053723147714
0.85,27.522924385146332,-0.08773989084248195,0,47.82559688374565
0.86,27.825221107750597,-0.08948540469025974,0,47.87055491128409
0.87,28.126309089140314,-0.09123911280663327,0,47.91540438850891
0.88,28.426173133189433,-0.0930007362621562,0,47.960138787346956
0.89,28.724795029024854,-0.09476998111775632,0,48.00475122099099
0.9,29.022158098106104,-0.09654655980622678,0,48.04923503351553
0.91,29.31824597774869,-0.09833018549955859,0,48.09358364488187
0.92,29.61303914211146,-0.10012056485832017,0,48.13779024118155
0.93,29.906522481084863,-0.10191741382684066,0,48.18184845715999
0.94,30.198679659634404,-0.1037204458775011,0,48.225751869915065
