"time","sut.crane_angle","sut.desired_angle","sut.m_load","sut.control_force"
1.08,-0.15922318163336108,0,5,76.83061425503324
1.09,-0.16108730202331464,0,5,77.24242947813148
1.1,-0.16293980395981142,0,5,77.64508182197699
1.11,-0.16478028431193223,0,5,78.03854203046947
1.12,-0.16660835036525362,0,5,78.42278399488778
1.13,-0.16842362563563162,0,5,78.79778568072649
1.14,-0.17022573338536656,0,5,79.16352640083979
1.15,-0.17201430287716798,0,5,79.51998781440629
1.16,-0.17378896940614796,0,5,79.86715390636019
1.17,-0.1755493748188306,0,5,80.20501118609178
1.18,-0.17729517844724968,0,5,80.53355357533835
1.19,-0.17902602961314015,0,5,80.85276999375984
1.2,-0.18074159050641414,0,5,81.16265462455293
1.21,-0.1824415298938354,0,5,81.46320404693111
1.22,-0.1841255231764824,0,5,81.75441722702317
1.23,-0.18579325244721237,0,5,82.03629550877201
1.24,-0.18744441028484526,0,5,82.3088437615481
1.25,-0.18907869552735668,0,5,82.57206904483706
1.26,-0.19069580974315917,0,5,82.82597948902297
1.27,-0.1922954640697199,0,5,83.0705863854169
1.28,-0.19387737688082649,0,5,83.30590343726166
1.29,-0.195441273860567,0,5,83.53194675574291
1.3,-0.1969868879647099,0,5,83.74873481004492
1.31,-0.1985139420093445,0,5,83.95628128705597
1.32,-0.20002219043765931,0,5,84.15461210349571
1.33,-0.20151138544261418,0,5,84.34375154535118
1.34,-0.20298128634938403,0,5,84.52372606295924
1.35,-0.20443165965293225,0,5,84.69456425215905
1.36,-0.20586227905558466,0,5,84.85629683544511
1.37,-0.20727291125759492,0,5,85.00895232760654
1.38,-0.20866332905976057,0,5,85.15256097436796
1.39,-0.21003333280532038,0,5,85.28716121705406
1.4,-0.21138271828130126,0,5,85.41278993946591
1.41,-0.21271128759053448,0,5,85.52948573085835
1.42,-0.21401884911972585,0,5,85.63728884603962
1.43,-0.215305217507524,0,5,85.73624116547059
1.44,-0.21657022722179717,0,5,85.8263938142658
1.45,-0.21781370108028875,0,5,85.90778942452113
1.46,-0.21903547467519488,0,5,85.98047585888867
1.47,-0.22023539052203484,0,5,86.04450289578512
1.48,-0.2214132976936935,0,5,86.09992200150992
1.49,-0.222569051817542,0,5,86.14678630669404
1.5,-0.22370252152869405,0,5,86.18515371008351
1.51,-0.22481358431711054,0,5,86.21508484473193
1.52,-0.22590211263974158,0,5,86.23663632860266
1.53,-0.22696799188046118,0,5,86.2498694421567
1.54,-0.22801111450596662,0,5,86.25484727532964
1.55,-0.22903138009794408,0,5,86.2516347209563
1.56,-0.2300286953852345,0,5,86.24029846819522
1.57,-0.23100296437260703,0,5,86.2209022266685
1.58,-0.2319541105894229,0,5,86.19351741892821
1.59,-0.2328820609090941,0,5,86.15821536615051
1.6,-0.23378674852528683,0,5,86.1150686993525
1.61,-0.2346681135817183,0,5,86.0641516406248
1.62,-0.23552610318190315,0,5,86.00553998575921
1.63,-0.23636066022168178,0,5,85.9393064445435
1.64,-0.23717172685545013,0,5,85.86552205900104
1.65,-0.23795927735586275,0,5,85.78426982988296
1.66,-0.23872327986861044,0,5,85.6956288105201
1.67,-0.23946370849521212,0,5,85.59967910385608
1.68,-0.24018054323459534,0,5,85.49650181676314
1.69,-0.24087376992467746,0,5,85.3861790143584
1.7,-0.24154336988709224,0,5,85.26879226338362
1.71,-0.24218934220607996,0,5,85.14442564731205
1.72,-0.24281168862008204,0,5,85.01316365842598
1.73,-0.24341041505286054,0,5,84.87509136994083
1.74,-0.24398553258058459,0,5,84.73029453084199
1.75,-0.24453705734863496,0,5,84.57885951680584
1.76,-0.24506502016816253,0,5,84.42087877718241
1.77,-0.24556946745245806,0,5,84.25645136481516
1.78,-0.24605042320245143,0,5,84.08566134997028
1.79,-0.24650792975369556,0,5,83.90860095419953
1.8,-0.24694203512862384,0,5,83.72536336724545
1.81,-0.24735279302047486,0,5,83.53604273607266
1.82,-0.24774026277721709,0,5,83.34073415389909
1.83,-0.2481045144527262,0,5,83.13953378372801
1.84,-0.24844561821152264,0,5,82.93253856657475
1.85,-0.248763650739042,0,5,82.71984638107328
1.86,-0.24905869524117577,0,5,82.50155603292191
1.87,-0.2493308407044658,0,5,82.27776722470468
1.88,-0.24958018189302075,0,5,82.04858054526736
1.89,-0.24980681382565456,0,5,81.81409465032081
1.9,-0.25001082826962967,0,5,81.57440446920612
1.91,-0.25019234227015935,0,5,81.3296157132487
1.92,-0.2503514692597065,0,5,81.07983016549574
1.93,-0.250488327754474,0,5,80.82515009692264
1.94,-0.2506030413071436,0,5,80.56567823332894
1.95,-0.25069573845961624,0,5,80.30151772223459
1.96,-0.25076652919073195,0,5,80.03276494048774
1.97,-0.25081555181654147,0,5,79.75952376069883
1.98,-0.2508429481701423,0,5,79.48189797266919
1.99,-0.25084885938284934,0,5,79.19998997968777
2,-0.25083343031918964,0,5,78.91390213065719
2.01,-0.25079680946524485,0,5,78.6237366673755
2.02,-0.25073914947094583,0,5,78.32959739433585
2.03,-0.25066060791094585,0,5,78.03159192426392
2.04,-0.2505613427119459,0,5,77.72981987502781
2.05,-0.2504415163407918,0,5,77.42438414252399
2.06,-0.2503012944219288,0,5,77.1153875004239
2.07,-0.2501408456319037,0,5,76.80293256368195
2.08,-0.2499603415938686,0,5,76.48712175204328
2.09,-0.2497599878738277,0,5,76.16807127451966
2.1,-0.24953996488914257,0,5,75.84588450143796
2.11,-0.2493004531561728,0,5,75.52066335738823
2.12,-0.24904164474710666,0,5,75.19251349714105
2.13,-0.24876373559543813,0,5,74.86154084794916
2.14,-0.2484669254817982,0,5,74.52785161422673
2.15,-0.24815141648549113,0,5,74.19155047419241
2.16,-0.24781740943799188,0,5,73.85273642198982
2.17,-0.24746511788282172,0,5,73.51151923960406
2.18,-0.24709475512598938,0,5,73.16800425827176
2.19,-0.2467065379830965,0,5,72.82229679550642
2.2,-0.24630068674770278,0,5,72.47450213919551
2.21,-0.24587742515969083,0,5,72.12472553169773
2.22,-0.24543695942414118,0,5,71.77306209695972
2.23,-0.24497951554234842,0,5,71.41961476087113
2.24,-0.24450532781323403,0,5,71.06448873055413
2.25,-0.24401462644979002,0,5,70.70778554881589
2.26,-0.24350764391126448,0,5,70.34960613325194
2.27,-0.24298461480536618,0,5,69.99005072858246
2.28,-0.24244577334055611,0,5,69.6292191373584
2.29,-0.24189134408930998,0,5,69.26721171070606
2.3,-0.24132157246534594,0,5,68.9041258265883
2.31,-0.24073669726518032,0,5,68.54005895098307
2.32,-0.24013695841191826,0,5,68.17510769922251
2.33,-0.23952259682245877,0,5,67.80936779230551
2.34,-0.23889385427470008,0,5,67.4429340132105
2.35,-0.23825099369756705,0,5,67.07591500823463
2.36,-0.2375942652249672,0,5,66.70840866499033
2.37,-0.23692391106257335,0,5,66.34050570283169
2.38,-0.2362401824215176,0,5,65.97230203452797
2.39,-0.2355433318035435,0,5,65.60389321130194
2.4,-0.2348336129378479,0,5,65.23537442976011
2.41,-0.23411128286864333,0,5,64.8668402514845
2.42,-0.2333766149025897,0,5,64.4983828717385
2.43,-0.23262985992765708,0,5,64.13009728578649
2.44,-0.23187127992748224,0,5,63.76207680984367
2.45,-0.23110113841792576,0,5,63.394414357250724
2.46,-0.23031970042478667,0,5,63.0272024399432
2.47,-0.22952723246151685,0,5,62.66053316992069
2.48,-0.2287239966009343,0,5,62.294488777545354
2.49,-0.22791025937119958,0,5,61.9291559329196
2.5,-0.22708629232317312,0,5,61.56462669413518
2.51,-0.22625236541782787,0,5,61.20098792680136
2.52,-0.22540874965036667,0,5,60.83832555480032
2.53,-0.2245557170060994,0,5,60.47672452669215
2.54,-0.22369353821423893,0,5,60.116268845175824
2.55,-0.22282245964068315,0,5,59.75704219389985
2.56,-0.22194276578426964,0,5,59.39912611303991
2.57,-0.2210547261872479,0,5,59.042601484645225
2.58,-0.2201586102273812,0,5,58.68754807421196
2.59,-0.21925468701213097,0,5,58.33404449885488
2.6,-0.21834322527284064,0,5,57.98216819547888
2.61,-0.21742448784958615,0,5,57.63200158222214
2.62,-0.2164987388476054,0,5,57.283623711914274
2.63,-0.2155662462151197,0,5,56.93710716769017
2.64,-0.21462727385901637,0,5,56.59252693694752
2.65,-0.21368208444054723,0,5,56.24995705750752
2.66,-0.21273093924771394,0,5,55.90947061074422
2.67,-0.2117740997514994,0,5,55.57113982197022
2.68,-0.21081186495104748,0,5,55.235038440482406
2.69,-0.20984447659099723,0,5,54.901235703418536
2.7,-0.2088721976016968,0,5,54.569801333446264
2.71,-0.2078952902247288,0,5,54.240804146675906
2.72,-0.20691401597290698,0,5,53.914312051370175
2.73,-0.2059286355902739,0,5,53.59039204665427
2.74,-0.2049394255672234,0,5,53.26910828440243
2.75,-0.20394665909840545,0,5,52.95052429104753
2.76,-0.2029505902044597,0,5,52.634704819246636
2.77,-0.20195148369459812,0,5,52.32171233651772
2.78,-0.2009496045482143,0,5,52.011608261540246
2.79,-0.199945217948012,0,5,51.70445295430894
2.8,-0.1989385889759357,0,5,51.400305677991724
2.81,-0.19792993188769442,0,5,51.09922032967744
2.82,-0.19691953121488856,0,5,50.80125559002932
2.83,-0.195907643198488,0,5,50.50646663945343
2.84,-0.19489452285660075,0,5,50.21490741686327
2.85,-0.1938804239118489,0,5,49.92663060095926
2.86,-0.19286559871874606,0,5,49.64168759150853
2.87,-0.19185027723743625,0,5,49.36012902664916
2.88,-0.190834686208011,0,5,49.08200427180507
2.89,-0.18981908048319707,0,5,48.80736059757176
2.9,-0.18880369575254455,0,5,48.536244368522674
2.91,-0.18778876438777917,0,5,48.26870061728367
2.92,-0.18677451526801953,0,5,48.004773028426214
2.93,-0.1857611736049932,0,5,47.74450392236026
2.94,-0.18474903400172712,0,5,47.487942592316855
2.95,-0.18373829102530242,0,5,47.235125983121875
2.96,-0.18272917070447828,0,5,46.98609369378657
2.97,-0.1817218989856052,0,5,46.74088438338397
